ranking,team,confederation,region,points,squad_size,o_age,most_valuable_player,team_market_value_euros_numeric,avg_player_market_value_euros_numeric,top_player_value_euros_numeric
8,Morocco,CAF,UNAF,1737,28,25.3,Achraf Hakimi,431750000,15420000,80000000
12,Senegal,CAF,WAFU - Zone A,1707,28,26.8,Iliman Ndiaye,456800000,16309999.999999998,50000000
26,Nigeria,CAF,WAFU - Zone B,1582,23,27.6,Ademola Lookman,230080000,10000000,40000000
28,Algeria,CAF,UNAF,1561,26,25.8,Rayan Aït-Nouri,227750000,8760000,40000000
31,Egypt,CAF,UNAF,1557,26,28.9,Omar Marmoush,108000000,4150000.0000000005,60000000
37,Ivory Coast,CAF,WAFU - Zone B,1522,24,25.3,Yan Diomande,444900000,18540000,75000000
45,Cameroon,CAF,UNIFFAC,1482,22,23.8,Bryan Mbeumo,184450000,8380000.000000001,80000000
47,Tunisia,CAF,UNAF,1479,28,25.6,Louey Ben Farhat,50600000,1810000,7500000
48,Democratic Republic of the Congo,CAF,UNIFFAC,1468,26,28.3,Yoane Wissa,154900000,5960000,30000000
54,Mali,CAF,WAFU - Zone A,1458,28,26.5,Dorgeles Nene,140050000,5000000,18000000
60,South Africa,CAF,COSAFA,1433,23,26.8,Lyle Foster,41150000,1790000,10000000
62,Burkina Faso,CAF,WAFU - Zone B,1413,24,24.9,Edmond Tapsoba,115130000,4800000,35000000
67,Cape Verde,CAF,WAFU - Zone A,1370,36,28.4,Wagner Pina,45150000,1250000,8000000
72,Ghana,CAF,WAFU - Zone B,1351,26,26.9,Antoine Semenyo,211280000,8130000.000000001,75000000
80,Guinea,CAF,WAFU - Zone A,1307,25,25,Serhou Guirassy,72300000,2890000,40000000
86,Gabon,CAF,UNIFFAC,1276,28,28.3,Denis Bouanga,29830000,1070000,8000000
88,Uganda,CAF,CECAFA,1264,28,27.9,Baba Alhassan,8630000,308000,900000
89,Angola,CAF,COSAFA,1263,27,29.2,David Carmo,52700000,1950000,8000000
91,Zambia,CAF,COSAFA,1257,23,26.1,Patson Daka,12900000,561000,12000000
92,Benin,CAF,WAFU - Zone B,1250,24,26.1,Junior Olaitan,16900000,704000,5000000
101,Mozambique,CAF,COSAFA,1224,28,29.1,Geny Catamo,30050000,1070000,20000000
104,Madagascar,CAF,COSAFA,1199,24,27.7,Andy Pelmard,8180000,341000,2000000
106,Comoros,CAF,COSAFA,1193,24,24.5,Warmed Omari,12530000,522000,3500000
107,Equatorial Guinea,CAF,UNIFFAC,1190,17,25.9,Saul Coco,11680000,687000,9000000
110,Tanzania,CAF,CECAFA,1186,23,26.3,Novatus Miroshi,7350000,320000,3500000
111,Niger,CAF,WAFU - Zone B,1185,23,26.2,Oumar Soko,10050000,437000,2500000
112,Libya,CAF,UNAF,1183,19,26.4,Moatasem Al-Musrati,10730000,564000,7000000
113,Kenya,CAF,CECAFA,1180,23,25.8,Michael Olunga,11780000,512000,6000000
115,Mauritania,CAF,UNAF,1171,26,26.5,Djeidi Gasssama,24430000,939000,7000000
116,The Gambia,CAF,WAFU - Zone A,1162,22,25.2,Yankuba Minteh,72280000,3290000,40000000
117,Sudan,CAF,CECAFA,1157,27,29.1,Mo Eisa,3300000,122000,300000
118,Namibia,CAF,COSAFA,1153,23,29,Peter Shalulile,4250000,185000,1200000
120,Sierra Leone,CAF,WAFU - Zone A,1149,23,25.3,Juma Bah,10500000,457000,7000000
124,Togo,CAF,WAFU - Zone B,1140,25,25.4,Kevin Denkey,29750000,1190000,14000000
126,Malawi,CAF,COSAFA,1134,23,26.7,Charles Petro,2000000,87000,800000
130,Rwanda,CAF,CECAFA,1118,23,27.2,Hakim Sahabo,5380000,234000,1500000
132,Zimbabwe,CAF,COSAFA,1114,22,26.5,Munashe Garananga,7600000,345000,2000000
133,Guinea-Bissau,CAF,WAFU - Zone A,1108,22,26.3,Beto,41250000,1880000,20000000
134,Republic of the Congo,CAF,UNIFFAC,1106,23,24.6,Christ Makosso,2330000,101000,850000
138,Central African Republic,CAF,UNIFFAC,1084,26,25.7,Goduine Koyalipou,7000000,269000,2500000
140,Liberia,CAF,WAFU - Zone A,1081,26,24.3,Oscar,15850000,610000,7000000
143,Lesotho,CAF,COSAFA,1066,22,28.1,N/A,675000,31000,NA
144,Botswana,CAF,COSAFA,1062,26,29.9,Thatayaone Ditlhokwe,3080000,118000,700000
145,Burundi,CAF,CECAFA,1060,24,27.2,Youssouf Ndayishimiye,12180000,507000,8000000
147,Ethiopia,CAF,CECAFA,1055,23,27.4,Yared Baye,2780000,121000,250000
159,Eswatini,CAF,COSAFA,1011,16,27.8,Justice Figuareido,1080000,67000,400000
168,South Sudan,CAF,CECAFA,978,25,25.1,Joseph Dhata,1600000,64000,175000
176,Mauritius,CAF,COSAFA,916,23,28.1,N/A,900000,39000,NA
177,Chad,CAF,UNIFFAC,915,13,26.2,Marius Mouandilmadji,4730000,363000,4500000
189,São Tomé and Príncipe,CAF,UNIFFAC,872,24,25.5,Ronaldo Lumungo,1430000,59000,400000
196,Djibouti,CAF,CECAFA,847,20,26.1,N/A,575000,29000,NA
200,Somalia,CAF,CECAFA,829,25,25.5,Abdulsamed Abdullahi,1840000,73000,250000
203,Seychelles,CAF,COSAFA,805,23,24.9,Warren Mellie,1030000,45000,125000
