ranking,team,confederation,points,squad_size,o_age,most_valuable_player,team_market_value_euros_numeric,avg_player_market_value_euros_numeric,top_player_value_euros_numeric
165,Antigua and Barbuda,CONCACAF,986.58,23,23,Luther James-Wildin,500000,22000,400000
206,Bahamas,CONCACAF,796.6,21,21.5,N/A,NA,NA,NA
178,Barbados,CONCACAF,914.42,23,24.6,Niall Reid-Stephen,200000,9000,200000
181,Belize,CONCACAF,910.74,24,26.8,Krisean López,425000,18000,125000
166,Cuba,CONCACAF,980.49,23,23.8,Jorge Aguirre,2300000,100000,600000
183,Dominica,CONCACAF,901.37,23,25.7,N/A,NA,NA,NA
142,Dominican Republic,CONCACAF,1077.49,23,24.6,Pablo Rosario,18850000,820000,8000000
164,Grenada,CONCACAF,989.59,29,25.3,Regan Charles-Cook,1530000,53000,600000
151,Guyana,CONCACAF,1041.9,26,26.1,Osaze De Rosario,1580000,61000,800000
83,Haiti,CONCACAF,1294.49,25,27.6,Wilson Isidor,55100000,2200000,18000000
70,Jamaica,CONCACAF,1362.4,27,27.5,Leon Bailey,53680000,1990000,16000000
167,Saint Lucia,CONCACAF,980.28,23,26.6,Arkell Jude-Boyd,500000,22000,150000
154,St. Kitts and Nevis,CONCACAF,1035.25,23,27.4,Tyrese Shade,575000,25000,225000
171,St. Vincent and the Grenadines,CONCACAF,963.74,32,25,Oalex Anderson,425000,13000,200000
123,Suriname,CONCACAF,1140.54,26,28.9,Joël Piroe,37700000,1450000,13000000
97,Trinidad and Tobago,CONCACAF,1227.32,22,24.9,Levi García,1100000,50000,7500000
